,verb,oricat,pos,neg,equal
758,billow,pos,undulate,recede,pulsate
759,release,pos,announce,wait,record
760,dissolve,pos,disintegrate,vanish,concentrate
761,surge,pos,spike,slump,swell
762,cling,pos,resist,vanish,grasp
763,identify,pos,determine,analyze,examine
764,fire,pos,flame,glow,blaze
765,discourage,pos,deter,intend,endanger
766,tack,pos,saddle,bow,mat
767,hush,pos,whisper,breathe,murmur
768,unzip,pos,unpack,wince,pant
769,think,pos,say,know,suppose
770,smack,pos,slap,fart,joke
771,mess,pos,blame,worry,mistake
772,straighten,pos,bend,limp,squint
773,extract,pos,contain,analyze,concentrate
774,initiate,pos,establish,intend,communicate
775,assign,pos,specify,attribute,verify
776,key,pos,change,need,focus
777,dispose,pos,refuse,intend,waste
778,signal,pos,transmit,clock,pulse
779,appear,pos,indicate,seem,look
780,harm,pos,injure,suffer,endanger
781,tighten,pos,loosen,sag,pry
782,buffet,pos,bar,lounge,indulge
783,spar,pos,strut,bow,pry
784,function,pos,control,attribute,result
785,help,pos,assist,need,learn
786,taxi,pos,train,trip,arrive
787,smear,pos,stain,bleed,slur
788,terminate,pos,suspend,cease,entitle
789,hold,pos,pull,keep,stand
790,exploit,pos,manipulate,rely,isolate
791,tense,pos,calm,encounter,struggle
792,gather,pos,collect,observe,examine
793,ban,pos,prohibit,hate,reconsider
794,churn,pos,sift,expect,swell
795,win,pos,beat,qualify,lose
796,howl,pos,shriek,wail,squeal
797,stalk,pos,sprout,lurk,bark
798,arch,pos,wall,tower,crest
799,surface,pos,layer,flow,angle
800,house,pos,floor,dream,own
801,fake,pos,pretend,hate,joke
802,assert,pos,affirm,acknowledge,presume
803,play,pos,better,live,go
804,bloody,pos,mess,hate,cry
805,tattoo,pos,stencil,face,picture
806,evaluate,pos,assess,analyze,examine
807,focus,pos,emphasize,reflect,concentrate
808,solicit,pos,disclose,intend,advertise
809,scrutinize,pos,appraise,analyze,examine
810,review,pos,recommend,consider,read
811,erode,pos,weaken,recede,endanger
812,testify,pos,plead,witness,court
813,dribble,pos,ball,drool,gush
814,honor,pos,celebrate,recognize,congratulate
815,stray,pos,litter,wander,dog
816,blacken,pos,scorch,smolder,darken
817,flutter,pos,rustle,twitch,flicker
818,concede,pos,argue,acknowledge,presume
819,assist,pos,help,benefit,serve
820,stone,pos,plaster,cave,rock
821,listen,pos,sing,hear,let
822,activate,pos,initiate,receive,button
823,repay,pos,borrow,owe,pay
824,bomb,pos,detonate,fart,blaze
825,grunt,pos,groan,whimper,squeal
826,cancel,pos,terminate,accept,notice
827,bring,pos,give,need,let
828,mug,pos,cup,cool,stand
829,fetch,pos,retrieve,attribute,let
830,trick,pos,fool,forget,mistake
831,unbutton,pos,unbuckle,flinch,squirm
832,interrogate,pos,detain,analyze,examine
833,share,pos,bring,interest,own
834,celebrate,pos,commemorate,forget,congratulate
835,surround,pos,sound,overlook,enclose
836,give,pos,make,want,let
837,superimpose,pos,distort,fixate,animate
838,dress,pos,lace,fancy,pant
839,guarantee,pos,assure,expect,require
840,call,pos,ask,please,let
841,trample,pos,smother,cower,strangle
842,abandon,pos,embrace,desire,reconsider
843,box,pos,bag,fancy,button
844,whisper,pos,silence,whimper,murmur
845,deliver,pos,provide,receive,serve
846,scar,pos,skin,bulge,eye
847,snort,pos,chuckle,snicker,sniff
848,tug,pos,tow,whimper,pry
849,dry,pos,wet,sweat,chill
850,slit,pos,prick,flap,pocket
851,bruise,pos,scar,ache,shin
852,dispute,pos,resolve,regard,court
853,string,pos,char,attribute,echo
854,relent,pos,budge,falter,waver
855,hiss,pos,growl,wail,squeal
856,rake,pos,shovel,sit,skid
857,enact,pos,impose,intend,reconsider
858,confess,pos,admit,regret,presume
859,apologize,pos,forgive,regret,excuse
860,quicken,pos,rouse,falter,depress
861,squat,pos,lunge,crouch,stoop
862,shower,pos,bath,lounge,mirror
863,engulf,pos,ravage,recede,pulsate
864,adjust,pos,adapt,monitor,angle
865,kick,pos,ball,miss,put
866,define,pos,describe,attribute,correspond
867,disengage,pos,detach,protrude,latch
868,smother,pos,suffocate,choke,strangle
869,sweep,pos,pull,spot,skid
870,gain,pos,achieve,benefit,lose
871,impose,pos,enforce,regard,reconsider
872,sway,pos,strut,wobble,drift
873,instal,pos,install,fascinate,oblige
874,honk,pos,beep,wail,squeal
875,burst,pos,explode,bleed,gush
876,shatter,pos,disintegrate,crumble,pry
877,allow,pos,enable,need,require
878,digest,pos,absorb,analyze,feed
879,compile,pos,execute,analyze,verify
880,cut,pos,chop,want,put
881,sidle,pos,saunter,slink,skitter
882,wash,pos,rinse,sweat,shine
883,shoo,pos,scoot,loll,whoop
884,ripple,pos,wave,trickle,swell
885,unleash,pos,inflict,desire,envision
886,publish,pos,submit,intend,read
887,water,pos,dry,flow,waste
888,perform,pos,rehearse,undergo,require
889,compete,pos,dominate,qualify,attract
890,dispense,pos,administer,rely,oblige
891,stuff,pos,think,guess,like
892,modify,pos,alter,intend,verify
893,base,pos,surface,rest,side
894,trade,pos,exchange,interest,concern
895,char,pos,string,attribute,echo
896,huff,pos,grumble,sulk,hyperventilate
897,scuttle,pos,scurry,slink,skitter
898,spy,pos,sneak,intrigue,watch
899,send,pos,mail,please,request
900,lead,pos,overcome,result,result
901,eat,pos,consume,sit,go
902,render,pos,modify,fail,animate
903,exert,pos,induce,perceive,cooperate
904,dent,pos,scratch,rust,pry
905,ride,pos,trip,trip,hike
906,lug,pos,bolt,protrude,tire
907,enhance,pos,improve,reflect,focus
908,silence,pos,whisper,fear,cry
909,injure,pos,harm,suffer,endanger
910,paw,pos,claw,stare,dog
911,extinguish,pos,douse,smolder,blaze
912,tuck,pos,lift,flap,pocket
913,regain,pos,recover,desire,lose
914,lock,pos,bolt,keep,latch
915,offend,pos,insult,misunderstand,presume
916,twirl,pos,whirl,wobble,writhe
917,scare,pos,frighten,fear,joke
918,unfold,pos,emerge,linger,envision
919,survive,pos,fend,endure,struggle
920,frustrate,pos,annoy,perplex,bewilder
921,chop,pos,slice,crumble,chill
922,bump,pos,bounce,spot,creep
923,spray,pos,brush,smell,concentrate
924,link,pos,click,please,check
925,grill,pos,cook,lounge,sizzle
926,punish,pos,humiliate,obey,excuse
927,disappear,pos,reappear,vanish,blink
928,stress,pos,relieve,worry,risk
929,encourage,pos,promote,intend,invite
930,swivel,pos,clamp,recline,angle
931,debate,pos,argue,matter,concern
932,continue,pos,begin,remain,go
933,clutter,pos,tidy,worry,accumulate
934,shock,pos,stress,fear,recoil
935,compromise,pos,undermine,regard,concern
936,criticize,pos,accuse,resent,presume
937,maneuver,pos,dismount,pose,glide
938,devastate,pos,ravage,recede,endanger
939,fulfill,pos,fulfil,desire,serve
940,draw,pos,match,face,put
941,turn,pos,take,want,let
942,reckon,pos,think,doubt,suppose
943,patch,pos,bug,flap,side
944,weave,pos,knit,loom,pant
945,decide,pos,choose,want,let
946,scamper,pos,scurry,slink,skitter
947,worship,pos,preach,pray,pray
948,narrow,pos,edge,slant,side
949,spew,pos,spit,drool,gush
950,mimic,pos,distinguish,resemble,imitate
951,report,pos,survey,estimate,examine
952,crash,pos,wreck,fail,blaze
953,aim,pos,focus,intend,focus
954,fence,pos,wall,border,stand
955,shoot,pos,kill,wait,let
956,adorn,pos,decorate,resemble,lend
957,harass,pos,intimidate,resent,endanger
958,draft,pos,pick,consider,put
959,scrub,pos,wash,sweat,bark
960,break,pos,end,stay,let
961,pass,pos,rush,fail,fumble
962,squeeze,pos,pull,sit,let
963,embroider,pos,sew,agonize,agonize
964,accuse,pos,criticize,resent,presume
965,rumble,pos,roar,wail,squeal
966,coat,pos,polish,rust,dog
967,collect,pos,gather,analyze,accumulate
968,stab,pos,poke,bleed,pry
969,plunge,pos,dip,plummet,indulge
970,fill,pos,empty,need,let
971,apply,pos,obtain,qualify,require
972,disorientate,pos,unnerve,perplex,appall
973,reduce,pos,minimize,benefit,risk
974,respond,pos,react,acknowledge,communicate
975,book,pos,write,see,read
976,beam,pos,light,glow,angle
977,munch,pos,nibble,relish,cuddle
978,step,pos,process,need,go
979,rise,pos,decline,plummet,struggle
980,insert,pos,attach,flap,button
981,ensure,pos,assure,need,require
982,rotate,pos,adjust,float,angle
983,recommend,pos,advise,consider,agree
984,condemn,pos,denounce,acknowledge,disapprove
985,store,pos,shop,want,go
986,command,pos,execute,attribute,echo
987,trash,pos,dump,hate,waste
988,refer,pos,describe,relate,understand
989,provoke,pos,arouse,fear,anger
990,contradict,pos,undermine,imply,presume
991,chat,pos,flirt,live,live
992,fit,pos,shape,need,size
993,alert,pos,alarm,monitor,caution
994,rend,pos,impale,tremble,behold
995,restrict,pos,prohibit,intend,require
996,manufacture,pos,produce,rely,require
997,terrify,pos,frighten,fascinate,horrify
998,sound,pos,voice,hear,feel
999,ship,pos,sail,wait,arrive
1000,exchange,pos,trade,interest,account
1001,ready,pos,get,need,let
1002,sprout,pos,grow,wither,bark
1003,surf,pos,swim,spot,swell
1004,replace,pos,remove,need,put
1005,venture,pos,invest,intend,project
1006,convert,pos,file,want,multiply
1007,end,pos,back,rest,go
1008,glue,pos,nail,glitter,mat
1009,don,pos,dare,forget,let
1010,freeze,pos,thaw,wait,chill
1011,rush,pos,hurry,wait,fumble
1012,peel,pos,skin,fade,bark
1013,ring,pos,belt,fancy,pocket
1014,retract,pos,disengage,protrude,latch
1015,founder,pos,associate,believe,own
1016,cash,pos,credit,interest,pay
1017,succeed,pos,accomplish,realize,struggle
1018,shed,pos,fence,keep,weigh
1019,exasperate,pos,aggravate,perplex,bewilder
1020,deny,pos,reject,acknowledge,presume
1021,head,pos,arm,face,eye
1022,hang,pos,pull,sit,go
1023,camp,pos,park,trip,retreat
1024,evolve,pos,adapt,survive,envision
1025,avert,pos,worsen,materialize,endanger
1026,hum,pos,hiss,hear,whine
1027,plat,pos,land,correspond,warrant
1028,sting,pos,bite,stink,sniff
1029,slaughter,pos,herd,fear,cry
1030,dart,pos,dodge,bow,glide
1031,etch,pos,sputter,rust,spatter
1032,speak,pos,talk,hear,understand
1033,flank,pos,corner,repulse,side
1034,intensify,pos,heighten,subside,darken
1035,throw,pos,toss,forget,put
1036,boom,pos,bubble,slump,skid
1037,lash,pos,nail,blush,eye
1038,commit,pos,execute,intend,excuse
1039,confiscate,pos,seize,cease,endanger
1040,acquit,pos,convict,repulse,oblige
1041,bend,pos,straighten,curve,angle
1042,describe,pos,explain,relate,understand
1043,relieve,pos,soothe,ache,cough
1044,prompt,pos,respond,result,request
1045,rub,pos,lick,sweat,sniff
1046,muster,pos,concede,surrender,excuse
1047,develop,pos,establish,need,focus
1048,state,pos,rule,matter,court
1049,exceed,pos,limit,vary,require
1050,impale,pos,decapitate,flinch,strangle
1051,swim,pos,dive,relax,stroll
1052,seek,pos,pursue,desire,examine
1053,boast,pos,adorn,overlook,possess
1054,lop,pos,shoo,dwarf,purr
1055,satisfy,pos,fulfill,desire,indulge
1056,process,pos,step,result,result
1057,strand,pos,knot,loom,bristle
1058,spring,pos,fall,snow,well
1059,awake,pos,wake,sleep,cry
1060,buzz,pos,chatter,hear,attract
1061,line,pos,end,need,side
1062,bowl,pos,cup,sit,put
1063,revolve,pos,involve,relate,obsess
1064,pin,pos,plug,clock,latch
1065,make,pos,give,want,put
1066,color,pos,shade,glow,picture
1067,labor,pos,work,depend,struggle
1068,combine,pos,incorporate,reflect,concentrate
1069,pour,pos,stir,sweat,adore
1070,achieve,pos,accomplish,desire,focus
1071,reinforce,pos,strengthen,reflect,reiterate
1072,pronounce,pos,speak,recognize,presume
1073,mash,pos,chop,crumble,chill
1074,eliminate,pos,reduce,keep,require
1075,chug,pos,slurp,drool,slosh
1076,attack,pos,assault,fear,spell
1077,propel,pos,elevate,materialize,envision
1078,emanate,pos,reverberate,perceive,radiate
1079,round,pos,finish,spot,side
1080,run,pos,start,keep,go
1081,label,pos,name,attribute,record
1082,hail,pos,storm,snow,blaze
1083,jostle,pos,clamber,falter,pulsate
1084,grind,pos,chop,crumble,creep
1085,deck,pos,floor,lounge,side
1086,climb,pos,ascend,cave,hike
1087,dim,pos,light,glow,flicker
1088,reload,pos,load,pause,recoil
1089,sprinkle,pos,stir,crumble,sizzle
1090,sue,pos,accuse,owe,court
1091,tether,pos,sling,protrude,latch
1092,include,pos,involve,consist,well
1093,circulate,pos,distribute,breathe,accumulate
1094,vote,pos,approve,want,agree
1095,better,pos,think,want,well
1096,budge,pos,relent,flinch,waver
1097,shield,pos,protect,bow,cloak
1098,deflect,pos,divert,repulse,recoil
1099,chatter,pos,buzz,idle,whine
1100,kneel,pos,beg,pray,pray
1101,bust,pos,figure,silhouette,size
1102,vent,pos,exhaust,flap,latch
1103,stimulate,pos,induce,desire,attract
1104,starve,pos,deprive,survive,strangle
1105,tailor,pos,adapt,depend,examine
1106,fix,pos,bug,need,mistake
1107,uncover,pos,discover,analyze,examine
1108,besiege,pos,assail,repulse,preoccupy
1109,lecture,pos,study,sit,attend
1110,ignore,pos,bother,assume,presume
1111,conduct,pos,undertake,regard,examine
1112,bleach,pos,rinse,bleed,darken
1113,cup,pos,bowl,relish,concentrate
1114,object,pos,function,attribute,correspond
1115,scrape,pos,chop,crumble,pry
1116,awaken,pos,rouse,desire,mind
1117,administer,pos,prescribe,analyze,examine
1118,erase,pos,wipe,fade,blink
1119,charm,pos,delight,sparkle,admire
1120,disrupt,pos,interfere,cease,endanger
1121,groom,pos,marry,impress,greet
1122,wrestle,pos,grapple,choke,struggle
1123,welcome,pos,thank,appreciate,invite
1124,heighten,pos,intensify,desire,endanger
1125,distract,pos,confuse,impress,excuse
1126,bolt,pos,wrench,rust,latch
1127,immerse,pos,submerge,relax,indulge
1128,weaken,pos,undermine,falter,endanger
1129,dictate,pos,govern,depend,presume
1130,pounce,pos,prowl,slink,squirm
1131,enrich,pos,broaden,reflect,lend
1132,expel,pos,dislodge,repulse,inhale
1133,involve,pos,arise,occur,require
1134,design,pos,fashion,silhouette,project
1135,slap,pos,smack,fart,joke
1136,negotiate,pos,resolve,accept,cooperate
1137,lower,pos,decrease,rest,risk
1138,frighten,pos,terrify,perplex,horrify
1139,lunge,pos,squat,crouch,flail
1140,baffle,pos,vent,perplex,bewilder
1141,rank,pos,earn,qualify,count
1142,target,pos,aim,value,focus
1143,establish,pos,maintain,regard,examine
1144,station,pos,train,tower,access
1145,shape,pos,fit,silhouette,look
1146,gamble,pos,bet,intend,lose
1147,snag,pos,grab,spot,pry
1148,scrunch,pos,curl,slouch,squint
1149,unpack,pos,unzip,analyze,examine
1150,descend,pos,ascend,wander,converge
1151,notify,pos,inform,receive,request
1152,land,pos,ground,rest,own
1153,repair,pos,salvage,need,tire
1154,compensate,pos,adjust,depend,pay
1155,wag,pos,sneer,snicker,wink
1156,grab,pos,pull,sit,let
1157,saddle,pos,tack,bow,tire
1158,power,pos,control,sense,fuel
1159,prove,pos,reason,doubt,presume
1160,astonish,pos,amuse,perplex,bewilder
1161,flare,pos,burst,glow,blaze
1162,splinter,pos,shatter,rot,pry
1163,nose,pos,mouth,face,eye
1164,clear,pos,make,matter,put
1165,hurl,pos,fling,cower,stoop
1166,jab,pos,punch,gag,joke
1167,implore,pos,beg,pray,pray
1168,upset,pos,hurt,worry,lose
1169,slop,pos,slurp,wobble,slosh
1170,drive,pos,run,need,go
1171,dig,pos,bury,want,let
1172,broaden,pos,expand,intend,focus
1173,embed,pos,integrate,attribute,animate
1174,gap,pos,end,span,overlap
1175,confront,pos,overcome,encounter,struggle
1176,widen,pos,broaden,recede,darken
1177,wrack,pos,seethe,agonize,preoccupy
1178,arouse,pos,provoke,fascinate,horrify
1179,place,pos,time,spot,put
1180,track,pos,tune,keep,record
1181,interfere,pos,disrupt,depend,endanger
1182,applaud,pos,criticize,appreciate,congratulate
1183,blurt,pos,mumble,cringe,overhear
1184,boost,pos,increase,benefit,attract
1185,strip,pos,thin,border,side
1186,crucify,pos,condemn,grieve,strangle
1187,cite,pos,argue,acknowledge,mention
1188,match,pos,win,result,result
1189,submerge,pos,immerse,recede,contaminate
1190,transport,pos,transfer,depend,waste
1191,retain,pos,maintain,remain,possess
1192,stain,pos,paint,rust,darken
1193,sever,pos,cause,suffer,strangle
1194,deal,pos,contract,expect,pay
1195,endorse,pos,oppose,acknowledge,agree
1196,nominate,pos,appoint,intend,congratulate
1197,scale,pos,measure,value,size
1198,calculate,pos,determine,estimate,predict
1199,puncture,pos,wound,bleed,tire
1200,prepare,pos,ready,intend,serve
1201,kidnap,pos,blackmail,surrender,strangle
1202,insure,pos,assure,depend,require
1203,swear,pos,laugh,hate,suppose
1204,halter,pos,ruffle,silhouette,pant
1205,flame,pos,fire,glow,blaze
1206,capture,pos,shoot,analyze,picture
1207,employ,pos,operate,rely,require
1208,evacuate,pos,flee,repulse,leave
1209,bustle,pos,hustle,relax,stroll
1210,drink,pos,eat,sit,indulge
1211,tie,pos,knot,bow,put
1212,rifle,pos,barrel,bow,recoil
1213,growl,pos,snarl,wail,purr
1214,photograph,pos,print,glimpse,picture
1215,install,pos,instal,need,require
1216,bar,pos,drink,lounge,tap
1217,rummage,pos,peruse,wander,sniff
1218,quiver,pos,clench,tremble,shiver
1219,moan,pos,groan,whimper,gasp
1220,beg,pos,implore,pray,pray
1221,sift,pos,scour,analyze,examine
1222,stop,pos,start,keep,go
1223,survey,pos,report,estimate,examine
1224,salvage,pos,repair,survive,bid
1225,nibble,pos,munch,linger,sniff
1226,douse,pos,extinguish,smolder,blaze
1227,twist,pos,spin,slant,angle
1228,tip,pos,finger,spot,thumb
1229,wring,pos,undress,weep,squirm
1230,permit,pos,allow,apply,require
1231,sew,pos,stitch,loom,cuddle
1232,avoid,pos,prevent,worry,risk
1233,flush,pos,sink,overflow,tap
1234,comfort,pos,ease,relax,feel
1235,accomplish,pos,achieve,intend,envision
1236,grapple,pos,wrestle,ponder,flail
1237,detect,pos,identify,analyze,verify
1238,evade,pos,sidestep,survive,cooperate
1239,spike,pos,surge,slump,pulse
1240,taunt,pos,harass,flinch,curse
1241,show,pos,will,see,live
1242,gallop,pos,trot,wander,flail
1243,cram,pos,shove,intend,memorize
1244,scrap,pos,pile,rust,waste
1245,convulse,pos,clench,tremble,writhe
1246,thrash,pos,doom,wail,rock
1247,edge,pos,corner,curve,side
1248,whirr,pos,clatter,throb,pulsate
1249,proclaim,pos,preach,acknowledge,pray
1250,reach,pos,close,need,go
1251,jog,pos,walk,pause,stroll
1252,mute,pos,silence,pause,button
1253,associate,pos,graduate,recognize,serve
1254,coordinate,pos,organize,correspond,cooperate
1255,stack,pos,pile,overflow,count
1256,wrapped,pos,bag,rest,put
1257,torture,pos,torment,fear,excuse
1258,drop,pos,jump,keep,put
1259,arrest,pos,murder,witness,warrant
1260,snuggle,pos,nuzzle,doze,cuddle
1261,puff,pos,bake,breathe,inhale
1262,engross,pos,astonish,fascinate,preoccupy
1263,sink,pos,drain,overflow,mirror
1264,steady,pos,pace,keep,swell
1265,curtain,pos,wall,bow,mirror
1266,get,pos,give,want,go
1267,arm,pos,shoulder,face,thumb
1268,grumble,pos,groan,sulk,whine
1269,undo,pos,erase,attribute,mistake
1270,equip,pos,educate,intend,learn
1271,scoop,pos,bowl,peek,put
1272,authorize,pos,approve,defer,defer
1273,sicken,pos,terrify,perplex,appall
1274,whirl,pos,twirl,shudder,pulsate
1275,acquire,pos,obtain,intend,possess
1276,disappoint,pos,tempt,impress,hope
1277,dangle,pos,clasp,sparkle,twinkle
1278,snoop,pos,rap,fart,usher
1279,poise,pos,stride,sense,grasp
1280,compose,pos,improvise,analyze,memorize
1281,riddle,pos,solve,puzzle,answer
1282,brake,pos,wheel,bleed,tire
1283,flag,pos,salute,border,march
1284,nestle,pos,snuggle,crumble,cuddle
1285,compel,pos,persuade,cease,oblige
1286,regulate,pos,govern,underlie,cooperate
1287,leak,pos,spill,overflow,fuel
1288,merge,pos,integrate,reflect,overlap
1289,yelp,pos,shriek,whimper,squeal
1290,advocate,pos,endorse,consider,concern
1291,begin,pos,start,intend,go
1292,sponsor,pos,participate,qualify,invite
1293,rinse,pos,wash,sweat,concentrate
1294,exhaust,pos,brake,flow,fuel
1295,circle,pos,square,curve,angle
1296,holler,pos,yell,wail,whoop
1297,finger,pos,hand,face,thumb
1298,dock,pos,ship,tower,screen
1299,skate,pos,ice,snow,sport
1300,rev,pos,throttle,idle,bob
1301,touch,pos,finger,sense,feel
1302,motion,pos,move,appeal,angle
1303,throttle,pos,brake,idle,fuel
1304,announce,pos,launch,intend,congratulate
1305,root,pos,extract,rot,bark
1306,dislodge,pos,loosen,repulse,pry
1307,deem,pos,refuse,regard,presume
1308,sear,pos,grill,choke,sizzle
1309,juggle,pos,grapple,survive,revolve
1310,insult,pos,offend,hate,joke
1311,accelerate,pos,reduce,intend,focus
1312,peg,pos,clamp,wobble,slide
1313,force,pos,push,sense,struggle
1314,slither,pos,wriggle,slink,writhe
1315,flee,pos,escape,fear,leave
1316,resolve,pos,solve,recognize,cooperate
1317,slash,pos,cut,mean,strangle
1318,chase,pos,hunt,encounter,let
1319,ricochet,pos,swerve,flinch,skitter
1320,race,pos,ride,qualify,sport
1321,hobble,pos,strangle,slink,strangle
1322,launch,pos,announce,wait,project
1323,restrain,pos,subdue,cease,strangle
1324,immobilize,pos,paralyze,repulse,strangle
1325,undermine,pos,weaken,imply,endanger
1326,laugh,pos,chuckle,cringe,joke
1327,emphasize,pos,focus,reflect,focus
1328,teach,pos,educate,know,learn
1329,steal,pos,grab,forget,let
1330,untie,pos,unhook,bow,strangle
1331,deposit,pos,cash,receive,pay
1332,yank,pos,shove,choke,pry
1333,last,pos,time,wait,put
1334,draghunt,pos,none,none,none
1335,extend,pos,expand,intend,require
1336,stock,pos,sell,value,yield
1337,rejoin,pos,join,rest,leave
1338,thrust,pos,force,shudder,bore
1339,tangle,pos,mess,limp,strangle
1340,affirm,pos,reaffirm,acknowledge,reiterate
1341,jot,pos,scribble,ponder,memorize
1342,propose,pos,introduce,intend,reconsider
1343,decline,pos,rise,slump,predict
1344,mutilate,pos,decapitate,misunderstand,strangle
1345,trip,pos,travel,stay,hike
1346,uphold,pos,affirm,acknowledge,reconsider
1347,lie,pos,pretend,sit,excuse
1348,repeat,pos,ignore,skip,let
1349,aggravate,pos,worsen,suffer,endanger
1350,rip,pos,tear,want,let
1351,agree,pos,disagree,believe,understand
1352,enable,pos,allow,rely,require
1353,decorate,pos,adorn,glitter,lend
1354,conceive,pos,comprehend,contemplate,presume
1355,pelt,pos,coat,bald,cloak
1356,jar,pos,bowl,relish,put
1357,oversee,pos,supervise,analyze,cooperate
1358,wheel,pos,brake,reel,tire
1359,mop,pos,wipe,sweat,bristle
1360,saunter,pos,amble,wander,stroll
1361,rustle,pos,clatter,whimper,creak
1362,plead,pos,testify,witness,warrant
1363,tend,pos,do,seem,behave
1364,fast,pos,slow,need,well
1365,crow,pos,duck,dawn,cry
1366,smash,pos,hit,crumble,rock
1367,trouble,pos,avoid,worry,mistake
1368,conceal,pos,hide,perceive,cloak
1369,nail,pos,polish,glitter,eye
1370,thread,pos,post,reply,joke
1371,defy,pos,confront,obey,struggle
1372,reserve,pos,preserve,interest,leave
1373,consume,pos,eat,suffer,accumulate
1374,strut,pos,rear,wobble,skid
1375,recruit,pos,enlist,impress,attract
1376,recover,pos,restore,survive,lose
1377,hire,pos,rent,want,pay
1378,block,pos,corner,address,side
1379,bone,pos,elbow,ache,eye
1380,chew,pos,gnaw,sit,bark
1381,clog,pos,irritate,sweat,contaminate
1382,slurp,pos,gulp,drool,slosh
1383,spare,pos,rack,need,put
1384,crane,pos,hoist,tower,skid
1385,fulfil,pos,fulfill,desire,recognise
1386,mask,pos,disguise,face,shadow
1387,nudge,pos,poke,pause,wink
1388,take,pos,give,want,go
1389,paralyze,pos,immobilize,perplex,strangle
1390,sail,pos,ship,bow,glide
1391,bite,pos,chew,smell,dog
1392,dismount,pos,maneuver,crouch,stagger
1393,betray,pos,offend,misunderstand,endanger
1394,punctuate,pos,reverberate,precede,pulsate
1395,intervene,pos,compel,cease,cooperate
1396,dive,pos,swim,cave,go
1397,slow,pos,fast,seem,feel
1398,load,pos,unload,idle,slide
1399,sort,pos,reason,sense,suppose
1400,grin,pos,smile,smirk,wink
1401,pedal,pos,brake,wobble,tire
1402,crowd,pos,cheer,hear,greet
1403,claw,pos,paw,bow,pry
1404,rid,pos,eliminate,worry,lose
1405,seethe,pos,blacken,smolder,writhe
1406,used,pos,make,have,put
1407,remind,pos,tell,forget,remember
1408,pat,pos,rub,crouch,bob
1409,press,pos,push,pause,button
1410,schedule,pos,begin,wait,resume
1411,forge,pos,unite,intend,envision
1412,exclude,pos,restrict,imply,defer
1413,stomp,pos,thump,wail,whoop
1414,cleanse,pos,wash,sweat,concentrate
1415,penetrate,pos,absorb,protrude,contaminate
1416,steam,pos,heat,flow,fuel
1417,figure,pos,point,assume,imagine
1418,burn,pos,fire,sweat,lose
1419,erect,pos,prick,limp,stand
1420,paint,pos,stain,rust,put
1421,shrink,pos,disappear,vanish,swell
1422,abolish,pos,enact,cease,reconsider
1423,alter,pos,modify,reflect,examine
1424,dedicate,pos,devote,intend,pray
1425,fling,pos,hurl,fart,gush
1426,amuse,pos,entertain,fascinate,bewilder
1427,bundle,pos,pack,receive,pocket
1428,charge,pos,cost,matter,pay
1429,wriggle,pos,wiggle,slink,squirm
1430,devour,pos,gnaw,weep,behold
1431,square,pos,circle,tower,size
1432,subtitle,pos,edit,pause,button
1433,slam,pos,knock,choke,pry
1434,walk,pos,park,wander,stroll
1435,fondle,pos,caress,drool,cuddle
1436,scramble,pos,hurry,stumble,fumble
1437,smooth,pos,clean,curve,slick
1438,instruct,pos,inform,intend,communicate
1439,protest,pos,oppose,fear,march
1440,blame,pos,accuse,hate,excuse
1441,guide,pos,travel,follow,learn
1442,conquer,pos,overcome,desire,struggle
1443,crush,pos,kiss,crumble,strangle
1444,grant,pos,award,benefit,project
1445,stun,pos,taunt,flinch,spell
1446,coax,pos,plug,choke,pry
1447,donate,pos,raise,receive,pay
1448,herd,pos,breed,roam,dog
1449,encircle,pos,encase,protrude,enclose
1450,wound,pos,scar,bleed,bore
1451,mobilize,pos,educate,recognize,cooperate
1452,create,pos,make,want,own
1453,come,pos,will,want,go
1454,rig,pos,crane,reel,drift
1455,affix,pos,attach,protrude,enclose
1456,detain,pos,confiscate,cease,warrant
1457,tickle,pos,tease,fart,squirm
1458,award,pos,honor,receive,congratulate
1459,exercise,pos,stress,relax,lose
1460,term,pos,refer,consider,result
1461,heap,pos,pile,overflow,waste
1462,eyeball,pos,finger,bulge,eye
1463,explore,pos,discover,enjoy,examine
1464,sell,pos,buy,want,afford
1465,shuffle,pos,flip,pause,slide
1466,unnerve,pos,terrify,perplex,horrify
1467,dodge,pos,dart,idle,tire
1468,filter,pos,remove,flow,fuel
1469,kid,pos,pretend,guess,joke
1470,cake,pos,bake,fancy,picture
1471,split,pos,separate,rest,put
1472,designate,pos,authorize,correspond,correspond
1473,issue,pos,question,matter,concern
1474,fume,pos,vent,stink,inhale
1475,zip,pos,unzip,flap,pocket
1476,wire,pos,coil,loom,inch
1477,confine,pos,restrain,intend,enclose
1478,stifle,pos,restrain,falter,strangle
1479,govern,pos,dictate,regard,cooperate
1480,connect,pos,disconnect,need,communicate
1481,hop,pos,rap,cool,rock
1482,beep,pos,honk,chime,chirp
1483,spit,pos,mouth,stink,gush
1484,veto,pos,enact,defer,reconsider
1485,contribute,pos,promote,benefit,risk
1486,scorch,pos,blacken,wither,spatter
1487,seal,pos,shield,flap,bore
1488,paddle,pos,sail,float,glide
1489,wave,pos,ripple,flow,pulse
1490,destroy,pos,kill,survive,endanger
1491,crop,pos,soil,depend,yield
1492,recite,pos,chant,pray,memorize
1493,fasten,pos,attach,protrude,latch
